[Strings]
nth  paddr      vaddr      len size section  type    string
78   0x00002b37 0x00403737 5   7    .text    utf8    EЉD$\f blocks=Basic Latin,Cyrillic
79   0x00002b5a 0x0040375a 5   7    .text    utf8    EЉD$\f blocks=Basic Latin,Cyrillic
80   0x00002b61 0x00403761 4   5    .text    ascii   D$\bP
81   0x00002ba5 0x004037a5 5   7    .text    utf8    EЉD$\f blocks=Basic Latin,Cyrillic
82   0x00002bca 0x004037ca 5   7    .text    utf8    EЉD$\f blocks=Basic Latin,Cyrillic
83   0x00002bed 0x004037ed 5   7    .text    utf8    EЉD$\f blocks=Basic Latin,Cyrillic
84   0x00002bf4 0x004037f4 4   5    .text    ascii   D$\bD
85   0x00002c28 0x00403828 5   7    .text    utf8    EЉD$\f blocks=Basic Latin,Cyrillic
86   0x00002c4d 0x0040384d 5   7    .text    utf8    EЉD$\f blocks=Basic Latin,Cyrillic
87   0x00002c70 0x00403870 5   7    .text    utf8    EЉD$\f blocks=Basic Latin,Cyrillic
88   0x00002c77 0x00403877 4   5    .text    ascii   D$\bU
89   0x00002cbb 0x004038bb 5   7    .text    utf8    EЉD$\f blocks=Basic Latin,Cyrillic
90   0x00002ce0 0x004038e0 5   7    .text    utf8    EЉD$\f blocks=Basic Latin,Cyrillic
91   0x00002d03 0x00403903 5   7    .text    utf8    EЉD$\f blocks=Basic Latin,Cyrillic
92   0x00002d0a 0x0040390a 4   5    .text    ascii   D$\b3
93   0x00002d3e 0x0040393e 5   7    .text    utf8    EЉD$\f blocks=Basic Latin,Cyrillic
94   0x00002d63 0x00403963 5   7    .text    utf8    EЉD$\f blocks=Basic Latin,Cyrillic
95   0x00002d86 0x00403986 5   7    .text    utf8    EЉD$\f blocks=Basic Latin,Cyrillic
96   0x00002d8d 0x0040398d 4   5    .text    ascii   D$\b3
97   0x00002dc1 0x004039c1 5   7    .text    utf8    EЉD$\f blocks=Basic Latin,Cyrillic
98   0x00002de6 0x004039e6 5   7    .text    utf8    EЉD$\f blocks=Basic Latin,Cyrillic
99   0x00002e09 0x00403a09 5   7    .text    utf8    EЉD$\f blocks=Basic Latin,Cyrillic
100  0x00002e10 0x00403a10 4   5    .text    ascii   D$\b3
101  0x00002e44 0x00403a44 5   7    .text    utf8    EЉD$\f blocks=Basic Latin,Cyrillic
102  0x00002e69 0x00403a69 5   7    .text    utf8    EЉD$\f blocks=Basic Latin,Cyrillic
103  0x00002e8c 0x00403a8c 5   7    .text    utf8    EЉD$\f blocks=Basic Latin,Cyrillic
104  0x00002e93 0x00403a93 4   5    .text    ascii   D$\b?
105  0x00002eec 0x00403aec 4   6    .text    utf8    )čD$ blocks=Basic Latin,Latin Extended-A
106  0x00002f9a 0x00403b9a 5   7    .text    utf8    EЉD$\f blocks=Basic Latin,Cyrillic
107  0x00002fbf 0x00403bbf 5   7    .text    utf8    EЉD$\f blocks=Basic Latin,Cyrillic
108  0x00002fe2 0x00403be2 5   7    .text    utf8    EЉD$\f blocks=Basic Latin,Cyrillic
109  0x00002fe9 0x00403be9 4   5    .text    ascii   D$\bR
110  0x00003005 0x00403c05 4   5    .text    ascii   D$\fC
111  0x0000300d 0x00403c0d 4   5    .text    ascii   D$\bL
112  0x0000302d 0x00403c2d 5   7    .text    utf8    EЉD$\f blocks=Basic Latin,Cyrillic
113  0x00003052 0x00403c52 5   7    .text    utf8    EЉD$\f blocks=Basic Latin,Cyrillic
114  0x00003075 0x00403c75 5   7    .text    utf8    EЉD$\f blocks=Basic Latin,Cyrillic
115  0x0000307c 0x00403c7c 4   5    .text    ascii   D$\bI
116  0x000030d2 0x00403cd2 4   6    .text    utf8    )čD$ blocks=Basic Latin,Latin Extended-A
117  0x00003145 0x00403d45 4   5    .text    ascii   D$\bp
118  0x0000317c 0x00403d7c 5   7    .text    utf8    EЉD$\f blocks=Basic Latin,Cyrillic
119  0x000031a1 0x00403da1 5   7    .text    utf8    EЉD$\f blocks=Basic Latin,Cyrillic
120  0x000031c4 0x00403dc4 5   7    .text    utf8    EЉD$\f blocks=Basic Latin,Cyrillic
121  0x000031cb 0x00403dcb 4   5    .text    ascii   D$\b7
122  0x00003225 0x00403e25 4   6    .text    utf8    )čD$ blocks=Basic Latin,Latin Extended-A
123  0x00003333 0x00403f33 5   7    .text    utf8    EЉD$\f blocks=Basic Latin,Cyrillic
124  0x00003358 0x00403f58 5   7    .text    utf8    EЉD$\f blocks=Basic Latin,Cyrillic
125  0x0000337b 0x00403f7b 5   7    .text    utf8    EЉD$\f blocks=Basic Latin,Cyrillic
126  0x00003382 0x00403f82 4   5    .text    ascii   D$\b8
127  0x000033dc 0x00403fdc 4   6    .text    utf8    )čD$ blocks=Basic Latin,Latin Extended-A
128  0x000034c7 0x004040c7 5   7    .text    utf8    EЉD$\f blocks=Basic Latin,Cyrillic
129  0x000034ec 0x004040ec 5   7    .text    utf8    EЉD$\f blocks=Basic Latin,Cyrillic
130  0x0000350f 0x0040410f 5   7    .text    utf8    EЉD$\f blocks=Basic Latin,Cyrillic
131  0x00003516 0x00404116 4   5    .text    ascii   D$\b1
132  0x00003576 0x00404176 5   7    .text    utf8    EЉD$\f blocks=Basic Latin,Cyrillic
133  0x0000359b 0x0040419b 5   7    .text    utf8    EЉD$\f blocks=Basic Latin,Cyrillic
