[Strings]
nth paddr      vaddr      len  size section type    string
91  0x00001ee0 0x004034e0 13   14   .rdata  ascii   RtlMoveMemory
92  0x00001ef0 0x004034f0 12   13   .rdata  ascii   SetErrorMode
93  0x00001f00 0x00403500 18   19   .rdata  ascii   SetFileAttributesW
94  0x00001f16 0x00403516 17   18   .rdata  ascii   SetThreadPriority
95  0x00001f2a 0x0040352a 5    6    .rdata  ascii   Sleep
96  0x00001f32 0x00403532 15   16   .rdata  ascii   UnmapViewOfFile
97  0x00001f44 0x00403544 12   13   .rdata  ascii   VirtualAlloc
98  0x00001f54 0x00403554 9    10   .rdata  ascii   WriteFile
99  0x00001f60 0x00403560 8    9    .rdata  ascii   lstrcatA
100 0x00001f6c 0x0040356c 8    9    .rdata  ascii   lstrcatW
101 0x00001f78 0x00403578 8    9    .rdata  ascii   lstrcmpW
102 0x00001f84 0x00403584 9    10   .rdata  ascii   lstrcmpiA
103 0x00001f90 0x00403590 9    10   .rdata  ascii   lstrcmpiW
104 0x00001f9c 0x0040359c 8    9    .rdata  ascii   lstrcpyA
105 0x00001fa8 0x004035a8 8    9    .rdata  ascii   lstrcpyW
106 0x00001fb4 0x004035b4 8    9    .rdata  ascii   lstrlenA
107 0x00001fc0 0x004035c0 8    9    .rdata  ascii   lstrlenW
108 0x00001fca 0x004035ca 12   13   .rdata  ascii   kernel32.dll
109 0x00001fda 0x004035da 13   14   .rdata  ascii   ShellExecuteA
110 0x00001fe8 0x004035e8 11   12   .rdata  ascii   shell32.dll
111 0x00001ff6 0x004035f6 12   13   .rdata  ascii   GetUserNameA
112 0x00002006 0x00403606 11   12   .rdata  ascii   RegCloseKey
113 0x00002014 0x00403614 13   14   .rdata  ascii   RegOpenKeyExA
114 0x00002024 0x00403624 16   17   .rdata  ascii   RegQueryValueExA
115 0x00002038 0x00403638 14   15   .rdata  ascii   RegSetValueExA
116 0x00002048 0x00403648 12   13   .rdata  ascii   advapi32.dll
117 0x00002058 0x00403658 19   20   .rdata  ascii   PathRemoveFileSpecA
118 0x0000206c 0x0040366c 11   12   .rdata  ascii   shlwapi.dll
119 0x0000207a 0x0040367a 18   19   .rdata  ascii   InitCommonControls
120 0x0000208e 0x0040368e 12   13   .rdata  ascii   comctl32.dll
121 0x0000209e 0x0040369e 13   14   .rdata  ascii   WNetCloseEnum
122 0x000020ae 0x004036ae 17   18   .rdata  ascii   WNetEnumResourceA
123 0x000020c2 0x004036c2 13   14   .rdata  ascii   WNetOpenEnumA
124 0x000020d0 0x004036d0 7    8    .rdata  ascii   mpr.dll
125 0x000020da 0x004036da 10   11   .rdata  ascii   WSACleanup
126 0x000020e8 0x004036e8 10   11   .rdata  ascii   WSAStartup
127 0x000020f6 0x004036f6 11   12   .rdata  ascii   closesocket
128 0x00002104 0x00403704 7    8    .rdata  ascii   connect
129 0x0000210e 0x0040370e 4    5    .rdata  ascii   recv
130 0x00002116 0x00403716 4    5    .rdata  ascii   send
131 0x0000211e 0x0040371e 6    7    .rdata  ascii   socket
132 0x00002126 0x00403726 11   12   .rdata  ascii   wsock32.dll
133 0x0000220b 0x0040400b 5    6    .data   ascii   LUSVW
134 0x00002228 0x00404028 4    5    .data   ascii   6f9O
135 0x0000224c 0x0040404c 4    5    .data   ascii   PPPY
136 0x00002269 0x00404069 4    5    .data   ascii   _^[]
137 0x00002291 0x00404091 4    6    .data   utf8    ID$4
138 0x000022a2 0x004040a2 8    9    .data   ascii   P\b;T$<w!
139 0x000022ce 0x004040ce 8    9    .data   ascii   t$8+T$4;
