[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
86   0x00002ca8 0x004038a8 4   5    .text   ascii   tdut
87   0x00002cb0 0x004038b0 12  13   .text   ascii   |{nxdbfz/e{g
88   0x00002d21 0x00403921 8   9    .text   ascii   3.#70!2)
89   0x00002d2a 0x0040392a 14  15   .text   ascii   86491*qb}b\t'2"
90   0x00002d6c 0x0040396c 4   5    .text   ascii   vPOI
91   0x00002d98 0x00403998 4   5    .text   ascii   dcv`
92   0x00002dd0 0x004039d0 5   6    .text   ascii   9*-\8
93   0x00002de2 0x004039e2 12  13   .text   ascii   x#m`a`cmddt-
94   0x00002e18 0x00403a18 11  12   .text   ascii   ~mjwunj1dif
95   0x00002e38 0x00403a38 8   9    .text   ascii   CDQG\R]T
96   0x00002e44 0x00403a44 10  11   .text   ascii   smstishfnx
97   0x00002e5c 0x00403a5c 9   10   .text   ascii   6+!26!1'1
98   0x00002e7d 0x00403a7d 8   9    .text   ascii   7"52),,>
99   0x00002e8a 0x00403a8a 9   10   .text   ascii   \at>3?18;/
100  0x00002ea8 0x00403aa8 8   9    .text   ascii   ;<)?$*%,
101  0x00002eb4 0x00403ab4 8   9    .text   ascii   71.(5;4=
102  0x00002f05 0x00403b05 4   5    .text   ascii   (./-
103  0x00002f0d 0x00403b0d 9   10   .text   ascii   XTP^@PT[W
104  0x00002f20 0x00403b20 4   5    .text   ascii   {\I_
105  0x00002f44 0x00403b44 5   6    .text   ascii   sv#71
106  0x00002f60 0x00403b60 7   8    .text   ascii   PTBVTX@
107  0x00002f71 0x00403b71 8   9    .text   ascii   (203,2$0
108  0x00002f94 0x00403b94 4   5    .text   ascii   ;="$
109  0x00002f9c 0x00403b9c 8   9    .text   ascii   \v699685\f
110  0x00002fb4 0x00403bb4 15  16   .text   ascii   Hrj~t9Ytyxwytt`
111  0x00002fc4 0x00403bc4 6   7    .text   ascii   6zvvku
112  0x00002fe4 0x00403be4 10  11   .text   ascii   x'?%7;78>q
113  0x00002fff 0x00403bff 7   8    .text   ascii   ggaekha
114  0x0000302c 0x00403c2c 8   9    .text   ascii   /?./,5+<
115  0x00003044 0x00403c44 4   5    .text   ascii   oivp
116  0x00003054 0x00403c54 11  12   .text   ascii   boml`gsoffx
117  0x00003060 0x00403c60 11  12   .text   ascii   cvnHveb=usw
118  0x0000306c 0x00403c6c 8   9    .text   ascii   V}s`|SNG
119  0x00003084 0x00403c84 10  11   .text   ascii   :>(<<44=3%
120  0x00003092 0x00403c92 5   6    .text   ascii   \e\b\f\e\v
121  0x0000309a 0x00403c9a 4   5    .text   ascii   95 :
122  0x000030d8 0x00403cd8 9   10   .text   ascii   !:$4%y04.
123  0x000030e4 0x00403ce4 9   10   .text   ascii   0\tx|7\r{v%
124  0x000030ee 0x00403cee 6   7    .text   ascii   +$72 .
125  0x000030f5 0x00403cf5 8   9    .text   ascii   \n<oj4j\v=
126  0x0000313c 0x00403d3c 6   7    .text   ascii   @I10(L
127  0x00003144 0x00403d44 4   5    .text   ascii   63<,
128  0x0000315c 0x00403d5c 5   6    .text   ascii   _\b'*\e
