[Strings]
nth  paddr      vaddr      len size section type    string
――――――――――――――――――――――――――――――――――――――――――――――――――――――――――
685  0x00012f2a 0x00412f2a 4   5            ascii   u*j\a
686  0x00012f78 0x00412f78 4   6            utf8    ËM\bj blocks=Latin-1 Supplement,Basic Latin
687  0x00012f96 0x00412f96 5   6            ascii   t,<At
688  0x00012fad 0x00412fad 4   6            utf8    ]ËM\b blocks=Basic Latin,Latin-1 Supplement
689  0x00012fcf 0x00412fcf 4   6            utf8    E\b]Ë blocks=Basic Latin,Latin-1 Supplement
690  0x00013095 0x00413095 4   5            ascii   2Sj\f
691  0x0001318f 0x0041318f 4   5            ascii   9\tt\t
692  0x000132ed 0x004132ed 8   10           utf8    S3ۀ9Qu\fA blocks=Basic Latin,Arabic
693  0x00013319 0x00413319 6   7            ascii   <0|L<9
694  0x00013373 0x00413373 8   9            ascii   tI<A|2<P
695  0x0001339a 0x0041339a 4   6            utf8    <@uӊ blocks=Basic Latin,Cyrillic
696  0x000133a7 0x004133a7 4   5            ascii   <@t"
697  0x00013466 0x00413466 4   6            utf8    \fhМA blocks=Basic Latin,Cyrillic
698  0x0001348b 0x0041348b 10  11           ascii   1t\fHHt\bHHt
699  0x00013496 0x00413496 4   5            ascii   HHu$
700  0x000134e0 0x004134e0 4   6            utf8    ËM\bj blocks=Latin-1 Supplement,Basic Latin
701  0x0001354c 0x0041354c 9   10           ascii   t]<@tS<Zt
702  0x00013602 0x00413602 6   7            ascii   tL<Zu\e
703  0x00013612 0x00413612 4   6            utf8    E\b3Ɂ blocks=Basic Latin,Latin Extended-B
704  0x00013a32 0x00413a32 5   6            ascii   E\bYY[
705  0x00013a86 0x00413a86 6   8            utf8    E\bYY]Ë blocks=Basic Latin,Latin-1 Supplement
706  0x00013a9c 0x00413a9c 6   8            utf8    E\bYY]Ë blocks=Basic Latin,Latin-1 Supplement
707  0x00013ab2 0x00413ab2 6   8            utf8    E\bYY]Ë blocks=Basic Latin,Latin-1 Supplement
708  0x00013ac8 0x00413ac8 4   6            utf8    u\b3ۉ blocks=Basic Latin,Arabic
709  0x00013b49 0x00413b49 6   7            ascii   tp<@tl
710  0x00013ba6 0x00413ba6 6   7            ascii   8@t\fh 
711  0x00013be1 0x00413be1 4   5            ascii   8@u,
712  0x00013c37 0x00413c37 4   5            ascii   <@u|
713  0x00013c48 0x00413c48 4   5            ascii   <_uk
714  0x00013c78 0x00413c78 4   5            ascii   @t\f@
715  0x00013c8d 0x00413c8d 4   5            ascii   M\bHj
716  0x00013dcb 0x00413dcb 4   5            ascii   <-u\f
717  0x00013de5 0x00413de5 4   5            ascii   PVje
718  0x00013e3f 0x00413e3f 4   5            ascii   YPVh
719  0x00013ede 0x00413ede 4   5            ascii   Yt*j
720  0x00013f1b 0x00413f1b 5   6            ascii   Du'h(
721  0x00013f82 0x00413f82 15  16           ascii   Ft,Ot\tOtFOt#OuV
722  0x00014029 0x00414029 5   6            ascii   8Xu2@
723  0x00014034 0x00414034 5   6            ascii   E\f9\bu
724  0x00014104 0x00414104 6   8            utf8    E\bYY]Ë blocks=Basic Latin,Latin-1 Supplement
725  0x00014186 0x00414186 4   5            ascii   \tw\e@
726  0x00014203 0x00414203 4   5            ascii   Ytgj
727  0x000142ad 0x004142ad 4   6            utf8    !}čE blocks=Basic Latin,Latin Extended-A
728  0x000142e1 0x004142e1 4   5            ascii   9\tt\t
729  0x000143cf 0x004143cf 5   6            ascii   8]\ft|
730  0x0001440f 0x0041440f 6   7            ascii   <>u\nj 
731  0x00014515 0x00414515 4   5            ascii   kt@;
732  0x00014843 0x00414843 4   5            ascii   8?u%
733  0x00014860 0x00414860 4   5            ascii   8@u\e
734  0x000149e0 0x004149e0 6   7            ascii   <>u\nj 
735  0x00014b02 0x00414b02 4   5            ascii   u\aAF
736  0x00014b36 0x00414b36 4   5            ascii   AFKu
737  0x00014b65 0x00414b65 4   5            ascii   Yt2j
738  0x00014bc0 0x00414bc0 5   8            utf8    EԉE܋E blocks=Basic Latin,Cyrillic Supplement,Syriac
739  0x00014c33 0x00414c33 4   5            ascii   9\tt\t
740  0x00014c67 0x00414c67 4   5            ascii   u\bW3
741  0x00014c9f 0x00414c9f 7   8            ascii   t4<@t;V
742  0x00014cdc 0x00414cdc 4   5            ascii   <@u\b
743  0x00014cea 0x00414cea 4   5            ascii   t\v!~
744  0x00014d4b 0x00414d4b 5   7            utf8    E\bY]Ë blocks=Basic Latin,Latin-1 Supplement
745  0x00014d9b 0x00414d9b 11  12           ascii   Tt^HtTHtJHt
746  0x00014da7 0x00414da7 7   8            ascii   Ht\nHu\h
747  0x00014ded 0x00414ded 4   6            utf8    \ehНA blocks=Basic Latin,Cyrillic
748  0x00014df4 0x00414df4 4   6            utf8    \fhȝA blocks=Basic Latin,Latin Extended-B
749  0x00014e5a 0x00414e5a 4   5            ascii   E\b_^
750  0x00014e6b 0x00414e6b 5   6            ascii   8?u'@
751  0x00014ea6 0x00414ea6 4   6            utf8    E\b]Ë blocks=Basic Latin,Latin-1 Supplement
752  0x00014edc 0x00414edc 6   7            ascii   0t1HHt
753  0x00014f4d 0x00414f4d 5   6            ascii   XSVW3
754  0x000151f1 0x004151f1 5   8            utf8    M\vEĉM blocks=Basic Latin,Latin Extended-A
755  0x0001521c 0x0041521c 4   7            utf8    }؉}Ћ blocks=Basic Latin,Arabic,Cyrillic
756  0x00015256 0x00415256 9   14           utf8    EȉE\vẺEčE blocks=Basic Latin,Latin Extended-B,Combining Diacritical Marks,Latin Extended-A
757  0x000152bf 0x004152bf 5   8            utf8    EȉE؋E blocks=Basic Latin,Latin Extended-B,Arabic
758  0x0001543a 0x0041543a 5   8            utf8    MȉE̋u blocks=Basic Latin,Latin Extended-B,Combining Diacritical Marks
759  0x0001553d 0x0041553d 4   6            utf8    \rh؞A blocks=Basic Latin,Arabic
760  0x00015919 0x00415919 4   5            ascii   tG9U
761  0x00015c36 0x00415c36 4   6            utf8    M܋E\b blocks=Basic Latin,Syriac
762  0x00015c5e 0x00415c5e 6   7            ascii   8\bu#8H
763  0x00015e67 0x00415e67 5   6            ascii   E\b_^[
764  0x00015eec 0x00415eec 6   7            ascii   8]\vt'V
765  0x00015f44 0x00415f44 4   5            ascii   t^HH
766  0x00015fa8 0x00415fa8 4   5            ascii   8_uK
767  0x00016039 0x00416039 4   5            ascii   sj@h
768  0x00016074 0x00416074 4   5            ascii   9\ttD
769  0x000160d0 0x004160d0 6   7            ascii   <@tJ!~
770  0x0001648c 0x0041648c 4   5            ascii   `<`t
771  0x000164e3 0x004164e3 4   6            utf8    M؋E\b blocks=Basic Latin,Arabic
772  0x000164fd 0x004164fd 5   6            ascii   E\b_^[
773  0x0001652c 0x0041652c 4   5            ascii   <$u.
774  0x000165b9 0x004165b9 5   8            utf8    MԉUԉE blocks=Basic Latin,Cyrillic Supplement
775  0x000165fe 0x004165fe 5   8            utf8    M܉}܉E blocks=Basic Latin,Syriac
776  0x0001672d 0x0041672d 7   11           utf8    3\tE܋EȉE blocks=Basic Latin,Syriac,Latin Extended-B
777  0x00016767 0x00416767 5   8            utf8    E܉EԋE blocks=Basic Latin,Syriac,Cyrillic Supplement
778  0x00016794 0x00416794 5   8            utf8    Mԉ}ԉE blocks=Basic Latin,Cyrillic Supplement
779  0x000167a2 0x004167a2 7   11           utf8    EԉE܋E؉E blocks=Basic Latin,Cyrillic Supplement,Syriac,Arabic
780  0x000168ba 0x004168ba 5   6            ascii   \f<\fuJ
781  0x000168f1 0x004168f1 4   5            ascii   \f<\fu
782  0x0001699f 0x0041699f 5   8            utf8    EĉEԋE blocks=Basic Latin,Latin Extended-A,Cyrillic Supplement
783  0x00016a27 0x00416a27 6   7            ascii   u\f9>tZ
784  0x00016a39 0x00416a39 5   6            ascii   98t:P
785  0x00016a54 0x00416a54 5   8            utf8    EĉEԋE blocks=Basic Latin,Latin Extended-A,Cyrillic Supplement
786  0x00016a9c 0x00416a9c 5   6            ascii   E\b_^[
787  0x00016ac8 0x00416ac8 4   5            ascii   :?u]
788  0x00016acf 0x00416acf 4   5            ascii   <@u2
789  0x00016b04 0x00416b04 5   6            ascii   3<$u 
790  0x00016c04 0x00416c04 4   5            ascii   <_uN
791  0x00016cb3 0x00416cb3 4   5            ascii   t\nj 
792  0x00016d39 0x00416d39 4   5            ascii   jdh8
793  0x00016dd3 0x00416dd3 4   5            ascii   jdhX
794  0x00016e7b 0x00416e7b 4   5            ascii   $SVW
795  0x000170f7 0x004170f7 4   5            ascii   Ct@j
796  0x000171a4 0x004171a4 4   5            ascii   t!h@
797  0x000171b6 0x004171b6 4   5            ascii   t!h4
798  0x000171ca 0x004171ca 4   5            ascii   t\rh(
799  0x00017204 0x00417204 5   6            ascii   E\b_^[
800  0x00017260 0x00417260 6   7            ascii   u\ft.Ht
801  0x00017286 0x00417286 4   5            ascii   t\nj 
802  0x00017312 0x00417312 8   9            ascii   AtJHt4Hu
803  0x00017378 0x00417378 5   6            ascii   Rt*Ht
804  0x000173b4 0x004173b4 4   5            ascii   t\nj 
805  0x000173db 0x004173db 4   5            ascii   E\b^[
806  0x00017405 0x00417405 7   8            ascii   <?tG<Xt
807  0x0001753f 0x0041753f 6   7            ascii   URPQQh
808  0x00017555 0x00417555 6   8            utf8    3ĉD$\bd blocks=Basic Latin,Latin Extended-A
809  0x0001756a 0x0041756a 4   5            ascii   L$,3
810  0x000175bc 0x004175bc 6   8            utf8    _^[ËL$ blocks=Basic Latin,Latin-1 Supplement
811  0x00017622 0x00417622 4   5            ascii   UVWS
812  0x00017634 0x00417634 5   7            utf8    [_^]Ë blocks=Basic Latin,Latin-1 Supplement
813  0x00017655 0x00417655 4   5            ascii   SVWj
814  0x00017666 0x00417666 4   5            ascii   _^[]
815  0x0001766d 0x0041766d 5   6            ascii   l$\bRQ
816  0x0001768b 0x0041768b 10  11           ascii   D$\f+d$\fSVW
817  0x000176be 0x004176be 10  11           ascii   D$\f+d$\fSVW
818  0x000176f4 0x004176f4 10  11           ascii   D$\f+d$\fSVW
819  0x0001772a 0x0041772a 10  11           ascii   D$\f+d$\fSVW
820  0x00017764 0x00417764 5   6            ascii   Y__^[
821  0x0001776b 0x0041776b 4   6            utf8    ]QËM blocks=Basic Latin,Latin-1 Supplement
822  0x00017952 0x00417952 5   7            utf8    _^[]Ë blocks=Basic Latin,Latin-1 Supplement
823  0x00017b35 0x00417b35 6   8            utf8    Y_^[]Ë blocks=Basic Latin,Latin-1 Supplement
824  0x00017b88 0x00417b88 4   5            ascii   j\fhx
825  0x00017ba1 0x00417ba1 4   5            ascii   Fpt"
826  0x00017bb5 0x00417bb5 4   5            ascii   u\bj 
827  0x00017c20 0x00417c20 5   6            ascii   \rt\fHt
828  0x00017e5d 0x00417e5d 5   8            utf8    u\bj 艊 blocks=Basic Latin,CJK Unified Ideographs
829  0x00017f10 0x00417f10 4   5            ascii   Hpu\a
830  0x00017f30 0x00417f30 4   5            ascii   Hpu\b
831  0x00018089 0x00418089 4   5            ascii   s\f9U
832  0x0001817a 0x0041817a 5   6            ascii   \b\b@Iu
833  0x0001822e 0x0041822e 4   5            ascii   E\b;C
834  0x00018284 0x00418284 4   5            ascii   Fh=x
835  0x000183fc 0x004183fc 5   6            ascii   U\b#U\f
836  0x00018413 0x00418413 5   6            ascii   SVWUj
837  0x00018428 0x00418428 4   5            ascii   ]_^[
838  0x0001842e 0x0041842e 4   6            utf8    ]ËL$ blocks=Basic Latin,Latin-1 Supplement
839  0x000184b4 0x004184b4 6   7            ascii   ;t$,v-
840  0x0001850f 0x0041850f 6   7            ascii   R\f9Q\bu
841  0x00018537 0x00418537 10  11           ascii   k\fUQPXY]Y[
842  0x0001855a 0x0041855a 4   5            ascii   ;E\fs
843  0x0001867c 0x0041867c 4   5            ascii   M\fS3
844  0x000186a8 0x004186a8 5   6            ascii   9]\bt\v
845  0x000186df 0x004186df 5   7            utf8    _^[]Ë blocks=Basic Latin,Latin-1 Supplement
846  0x0001871a 0x0041871a 4   5            ascii   9}\bu
847  0x000187c5 0x004187c5 4   5            ascii   M\b^;
848  0x00018872 0x00418872 5   6            ascii   9~\u'
849  0x00018a46 0x00418a46 4   6            utf8    }؋]\b blocks=Basic Latin,Arabic
850  0x00018aa5 0x00418aa5 4   5            ascii   t!Ht
851  0x00018b12 0x00418b12 4   6            utf8    Y3\tE
852  0x00018b2b 0x00418b2b 4   6            utf8    MԉG` blocks=Basic Latin,Cyrillic Supplement
853  0x00018bbf 0x00418bbf 4   6            utf8    EԉG` blocks=Basic Latin,Cyrillic Supplement
854  0x00018bca 0x00418bca 5   7            utf8    EЉGd3 blocks=Basic Latin,Cyrillic
855  0x00018cf0 0x00418cf0 5   6            ascii   E\bSVW
856  0x00018d36 0x00418d36 5   6            ascii   zuxVV
857  0x00018d57 0x00418d57 5   6            ascii   tXFVP
858  0x00018dc6 0x00418dc6 4   5            ascii   QSVP
859  0x00018de9 0x00418de9 5   6            ascii   WWWWW
860  0x00018ed4 0x00418ed4 4   6            utf8    ]ËA< blocks=Basic Latin,Latin-1 Supplement
861  0x00018eda 0x00418eda 4   6            utf8    A8PE
862  0x00018f3f 0x00418f3f 4   5            ascii   _^[]
863  0x00018f6a 0x00418f6a 4   5            ascii   \bSVW
864  0x00018fd3 0x00418fd3 4   5            ascii   Y_^[
865  0x00018fdf 0x00418fdf 4   6            utf8    \b3ҁ9 blocks=Basic Latin,Cyrillic
866  0x00019004 0x00419004 4   5            ascii   Y_^[
867  0x0001902e 0x0041902e 4   5            ascii   E\fVW
868  0x00019048 0x00419048 5   7            utf8    u}hУA blocks=Basic Latin,Cyrillic
869  0x000190d7 0x004190d7 5   6            ascii   tG9\rt
870  0x000191a6 0x004191a6 5   7            utf8    _^]ËM blocks=Basic Latin,Latin-1 Supplement
871  0x0001920b 0x0041920b 4   5            ascii   9U\fu
872  0x00019212 0x00419212 5   7            utf8    _^[]Å blocks=Basic Latin,Latin-1 Supplement
873  0x00019266 0x00419266 4   5            ascii   t'Ou
874  0x0001929f 0x0041929f 5   6            ascii   M\fjPf
875  0x0001939e 0x0041939e 4   5            ascii   D$\f3
876  0x000193a6 0x004193a6 4   6            utf8    ؋D$\b blocks=Arabic,Basic Latin
877  0x000193ef 0x004193ef 7   8            ascii   ;T$\fw\br
878  0x000193f7 0x004193f7 10  11           ascii   ;D$\bv\tN+D$
879  0x00019408 0x00419408 8   9            ascii   +D$\b\eT$\f
880  0x00019418 0x00419418 4   9            utf8    ʋӋًȋ blocks=IPA Extensions,Cyrillic,Arabic,Latin Extended-B
881  0x00019441 0x00419441 5   6            ascii   u\fj\nj
882  0x00019486 0x00419486 5   6            ascii   u\fj\nj
883  0x000194c7 0x004194c7 4   5            ascii   Pj1S
884  0x000194d9 0x004194d9 6   7            ascii   F\bPj2S
885  0x000194ed 0x004194ed 6   7            ascii   F\fPj3S
886  0x00019503 0x00419503 4   5            ascii   Pj4S
887  0x0001951a 0x0041951a 4   5            ascii   Pj5S
888  0x0001952e 0x0041952e 4   5            ascii   Pj6S
889  0x0001953d 0x0041953d 5   6            ascii   Vj7S\v
890  0x00019551 0x00419551 6   7            ascii   F Pj*S
891  0x00019568 0x00419568 7   8            ascii   F$Pj+Sj
892  0x0001957c 0x0041957c 6   7            ascii   F(Pj,S
893  0x00019590 0x00419590 6   7            ascii   F,Pj-S
894  0x000195a4 0x004195a4 6   7            ascii   F0Pj.S
895  0x000195bb 0x004195bb 6   7            ascii   F4Pj/S
896  0x000195d1 0x004195d1 4   5            ascii   Pj0S
897  0x000195e3 0x004195e3 6   7            ascii   F8PjDS
898  0x000195f7 0x004195f7 6   7            ascii   F<PjES
899  0x0001960e 0x0041960e 6   7            ascii   F@PjFS
900  0x00019622 0x00419622 6   7            ascii   FDPjGS
901  0x00019636 0x00419636 6   7            ascii   FHPjHS
902  0x0001964a 0x0041964a 6   7            ascii   FLPjIS
903  0x00019661 0x00419661 6   7            ascii   FPPjJS
904  0x00019675 0x00419675 6   7            ascii   FTPjKS
905  0x00019689 0x00419689 6   7            ascii   FXPjLS
906  0x0001969d 0x0041969d 6   7            ascii   F\PjMS
907  0x000196b4 0x004196b4 6   7            ascii   F`PjNS
908  0x000196c8 0x004196c8 6   7            ascii   FdPjOS
909  0x000196dc 0x004196dc 6   7            ascii   FhPj8S
910  0x000196f0 0x004196f0 6   7            ascii   FlPj9S
911  0x00019707 0x00419707 6   7            ascii   FpPj:S
912  0x0001971b 0x0041971b 6   7            ascii   FtPj;S
913  0x0001972f 0x0041972f 6   7            ascii   FxPj<S
914  0x00019743 0x00419743 6   7            ascii   F|Pj=S
915  0x0001975f 0x0041975f 4   5            ascii   Pj>S
916  0x00019776 0x00419776 4   5            ascii   Pj?S
917  0x0001978d 0x0041978d 4   5            ascii   Pj@S
918  0x000197a4 0x004197a4 4   5            ascii   PjAS
919  0x000197be 0x004197be 4   5            ascii   PjBS
920  0x000197d5 0x004197d5 4   5            ascii   PjCS
921  0x000197ec 0x004197ec 4   5            ascii   Pj(S
922  0x00019803 0x00419803 4   5            ascii   Pj)S
923  0x00019893 0x00419893 4   5            ascii   Pj1S
924  0x000198aa 0x004198aa 4   5            ascii   Pj2S
925  0x000198c1 0x004198c1 4   5            ascii   Pj3S
926  0x000198d8 0x004198d8 4   5            ascii   Pj4S
927  0x000198f2 0x004198f2 4   5            ascii   Pj5S
928  0x00019909 0x00419909 4   5            ascii   Pj6S
929  0x00019920 0x00419920 4   5            ascii   Pj7S
930  0x00019937 0x00419937 4   5            ascii   Pj*S
931  0x00019951 0x00419951 4   5            ascii   Pj+S
932  0x00019968 0x00419968 4   5            ascii   Pj,S
933  0x0001997f 0x0041997f 4   5            ascii   Pj-S
934  0x00019996 0x00419996 4   5            ascii   Pj.S
935  0x000199b0 0x004199b0 4   5            ascii   Pj/S
936  0x000199c7 0x004199c7 4   5            ascii   Pj0S
937  0x000199de 0x004199de 4   5            ascii   PjDS
938  0x000199f5 0x004199f5 4   5            ascii   PjES
939  0x00019a0f 0x00419a0f 4   5            ascii   PjFS
940  0x00019a26 0x00419a26 4   5            ascii   PjGS
941  0x00019a3d 0x00419a3d 4   5            ascii   PjHS
942  0x00019a54 0x00419a54 4   5            ascii   PjIS
943  0x00019a6e 0x00419a6e 4   5            ascii   PjJS
944  0x00019a85 0x00419a85 4   5            ascii   PjKS
945  0x00019a9c 0x00419a9c 4   5            ascii   PjLS
946  0x00019ab3 0x00419ab3 4   5            ascii   PjMS
947  0x00019acd 0x00419acd 4   5            ascii   PjNS
948  0x00019ae4 0x00419ae4 5   6            ascii   PjOSj
949  0x00019afb 0x00419afb 4   5            ascii   Pj8S
950  0x00019b12 0x00419b12 4   5            ascii   Pj9S
951  0x00019b2c 0x00419b2c 4   5            ascii   Pj:S
952  0x00019b43 0x00419b43 4   5            ascii   Pj;S
953  0x00019b5a 0x00419b5a 4   5            ascii   Pj<S
954  0x00019b71 0x00419b71 4   5            ascii   Pj=S
955  0x00019b8b 0x00419b8b 4   5            ascii   Pj>S
956  0x00019ba2 0x00419ba2 4   5            ascii   Pj?S
957  0x00019bb9 0x00419bb9 4   5            ascii   Pj@S
958  0x00019bd0 0x00419bd0 4   5            ascii   PjAS
959  0x00019bea 0x00419bea 4   5            ascii   PjBS
960  0x00019c01 0x00419c01 4   5            ascii   PjCS
961  0x00019c18 0x00419c18 4   5            ascii   Pj(S
962  0x00019c2f 0x00419c2f 5   6            ascii   Pj)Sj
963  0x0001a023 0x0041a023 4   5            ascii   tBhd
964  0x0001a087 0x0041a087 4   5            ascii   _^[]
965  0x0001a111 0x0041a111 4   5            ascii   v4;5
966  0x0001a121 0x0041a121 4   6            utf8    Y^]Ë blocks=Basic Latin,Latin-1 Supplement
967  0x0001a130 0x0041a130 4   5            ascii   u\bW3
968  0x0001a1d0 0x0041a1d0 4   5            ascii   v>Sj
969  0x0001a1f8 0x0041a1f8 4   5            ascii   C\bPj
970  0x0001a20c 0x0041a20c 4   5            ascii   C0Pj
971  0x0001a223 0x0041a223 4   5            ascii   C4Pj
972  0x0001a432 0x0041a432 5   6            ascii   vL;54
973  0x0001a442 0x0041a442 4   6            utf8    Y^]Ë blocks=Basic Latin,Latin-1 Supplement
974  0x0001a451 0x0041a451 4   5            ascii   u\bW3
975  0x0001a4dc 0x0041a4dc 4   5            ascii   C\fPj
976  0x0001a543 0x0041a543 6   7            ascii   C PjPV
977  0x0001a557 0x0041a557 6   7            ascii   C$PjQV
978  0x0001a56b 0x0041a56b 4   5            ascii   C(Pj
979  0x0001a582 0x0041a582 4   5            ascii   C)Pj
980  0x0001a596 0x0041a596 6   7            ascii   C*PjTV
981  0x0001a5aa 0x0041a5aa 6   7            ascii   C+PjUV
982  0x0001a5be 0x0041a5be 6   7            ascii   C,PjVV
983  0x0001a5d5 0x0041a5d5 6   7            ascii   C-PjWV
984  0x0001a5e9 0x0041a5e9 6   7            ascii   C.PjRV
985  0x0001a5fd 0x0041a5fd 6   7            ascii   C/PjSV
986  0x0001a611 0x0041a611 4   5            ascii   C8Pj
987  0x0001a628 0x0041a628 4   5            ascii   C<Pj
988  0x0001a63c 0x0041a63c 4   5            ascii   C@Pj
989  0x0001a650 0x0041a650 4   5            ascii   CDPj
990  0x0001a664 0x0041a664 6   7            ascii   CHPjPV
991  0x0001a67b 0x0041a67b 6   7            ascii   CLPjQV
992  0x0001a7ac 0x0041a7ac 5   6            ascii   Hl;\rh
993  0x0001a7d8 0x0041a7d8 4   6            utf8    ȋAl; blocks=Latin Extended-B,Basic Latin
994  0x0001a875 0x0041a875 4   5            ascii   t\b@;
995  0x0001a88f 0x0041a88f 5   6            ascii   9]$u\v
996  0x0001a8a7 0x0041a8a7 5   6            ascii   9](SS
997  0x0001a8e1 0x0041a8e1 4   5            ascii   D?\b=
998  0x0001a99e 0x0041a99e 4   5            ascii   D?\b;
999  0x0001a9ed 0x0041a9ed 8   9            ascii   t"SS9] u
1000 0x0001aaad 0x0041aaad 5   6            ascii   9] SS
1001 0x0001aadd 0x0041aadd 4   5            ascii   D?\b=
1002 0x0001aba9 0x0041aba9 4   5            ascii   E\bS3
1003 0x0001abae 0x0041abae 4   5            ascii   VW9]
1004 0x0001abb9 0x0041abb9 4   5            ascii   9]\fu
1005 0x0001abc0 0x0041abc0 4   5            ascii   _^[]
1006 0x0001ac0b 0x0041ac0b 4   5            ascii   t"Ou
1007 0x0001ac1e 0x0041ac1e 4   5            ascii   t\bOt
1008 0x0001ac3a 0x0041ac3a 4   5            ascii   M\fjP
1009 0x0001aca9 0x0041aca9 4   5            ascii   D\t\b=
1010 0x0001acf5 0x0041acf5 6   7            ascii   t VV9u
1011 0x0001ae59 0x0041ae59 9   10           ascii   \a<xt\r<Xt\t
1012 0x0001ae7f 0x0041ae7f 4   5            ascii   \a<xt
1013 0x0001af32 0x0041af32 4   5            ascii   u+9u
1014 0x0001afb7 0x0041afb7 4   5            ascii   u\ahl
1015 0x0001affd 0x0041affd 6   7            ascii   u\bu\ahl
1016 0x0001b06d 0x0041b06d 4   6            utf8    Ẽ`p blocks=Basic Latin,Combining Diacritical Marks
1017 0x0001b114 0x0041b114 9   10           ascii   \a<xt\r<Xt\t
1018 0x0001b135 0x0041b135 4   5            ascii   \a<xt
1019 0x0001b13a 0x0041b13a 4   5            ascii   <Xu\f
1020 0x0001b1af 0x0041b1af 4   5            ascii   rQw\b
1021 0x0001b1e7 0x0041b1e7 4   5            ascii   \buA3
1022 0x0001b240 0x0041b240 4   5            ascii   t\r9]
1023 0x0001b251 0x0041b251 4   5            ascii   u>9u
1024 0x0001b2bf 0x0041b2bf 4   6            utf8    Ẽ`p blocks=Basic Latin,Combining Diacritical Marks
1025 0x0001b2e5 0x0041b2e5 4   5            ascii   u\ahl
1026 0x0001b32b 0x0041b32b 6   7            ascii   u\bu\ahl
1027 0x0001b362 0x0041b362 5   7            utf8    L$\b+ȃ blocks=Basic Latin,Latin Extended-B
1028 0x0001b378 0x0041b378 5   7            utf8    L$\b+ȃ blocks=Basic Latin,Latin Extended-B
1029 0x0001b3ec 0x0041b3ec 4   6            utf8    \n3Ɉ] blocks=Basic Latin,Latin Extended-B
1030 0x0001b45e 0x0041b45e 5   6            ascii   A#E\f]
1031 0x0001b493 0x0041b493 4   5            ascii   Wj6Y
1032 0x0001b4a4 0x0041b4a4 4   6            utf8    Y_^Ë blocks=Basic Latin,Latin-1 Supplement
1033 0x0001b503 0x0041b503 4   6            utf8    ^]áh blocks=Basic Latin,Latin-1 Supplement
1034 0x0001b52f 0x0041b52f 4   5            ascii   j\bhX
1035 0x0001b584 0x0041b584 4   5            ascii   t<j\f
1036 0x0001b5d8 0x0041b5d8 5   7            utf8    Ëu\bj\r blocks=Latin-1 Supplement,Basic Latin
1037 0x0001b5e3 0x0041b5e3 6   8            utf8    YËu\bj\f blocks=Basic Latin,Latin-1 Supplement
1038 0x0001b6dc 0x0041b6dc 5   6            ascii   u\vG;}
1039 0x0001b6e4 0x0041b6e4 4   5            ascii   ^_[]
1040 0x0001b6e9 0x0041b6e9 5   6            ascii   SSSSS
1041 0x0001b720 0x0041b720 4   5            ascii   <.u1
1042 0x0001b74b 0x0041b74b 5   6            ascii   SSSSS
1043 0x0001b780 0x0041b780 7   8            ascii   .t|PVj@
1044 0x0001b799 0x0041b799 4   5            ascii   _tcP
1045 0x0001b79e 0x0041b79e 5   6            ascii   E\bVj@
1046 0x0001b7b9 0x0041b7b9 4   5            ascii   ,uCP
1047 0x0001b7be 0x0041b7be 4   5            ascii   E\bVj
1048 0x0001b802 0x0041b802 4   5            ascii   _^[]
1049 0x0001b809 0x0041b809 5   6            ascii   PPPPP
1050 0x0001b873 0x0041b873 5   6            ascii   SSSSS
1051 0x0001b987 0x0041b987 5   6            ascii   PPPPP
1052 0x0001b9dd 0x0041b9dd 4   5            ascii   ^H_[
1053 0x0001b9f9 0x0041b9f9 4   5            ascii   E\fSV
1054 0x0001ba67 0x0041ba67 4   5            ascii   >CuS
1055 0x0001ba6f 0x0041ba6f 4   5            ascii   uMh\b
1056 0x0001bab4 0x0041bab4 5   6            ascii   PPPPP
1057 0x0001bb73 0x0041bb73 4   5            ascii   @PVW
1058 0x0001bbe8 0x0041bbe8 6   7            ascii   \fVVVVV
1059 0x0001be26 0x0041be26 4   6            utf8    t<39
1060 0x0001bf33 0x0041bf33 5   6            ascii   PPPPP
1061 0x0001bf54 0x0041bf54 6   8            utf8    E\bSV3ۋ blocks=Basic Latin,Arabic
1062 0x0001c0c5 0x0041c0c5 5   6            ascii   VVVVV
1063 0x0001c0d2 0x0041c0d2 5   6            ascii   xSSSh
1064 0x0001c163 0x0041c163 4   5            ascii   VWw$
1065 0x0001c16f 0x0041c16f 4   5            ascii   GWj\b
1066 0x0001c321 0x0041c321 4   5            ascii   ~lSW
1067 0x0001c3cf 0x0041c3cf 4   6            utf8    ̋D$\b blocks=Combining Diacritical Marks,Basic Latin
1068 0x0001c3d8 0x0041c3d8 7   9            utf8    \vȋL$\fu\t blocks=Basic Latin,Latin Extended-B
1069 0x0001c3ed 0x0041c3ed 4   6            utf8    ؋D$\b blocks=Arabic,Basic Latin
1070 0x0001c3f7 0x0041c3f7 4   6            utf8    ؋D$\b blocks=Arabic,Basic Latin
1071 0x0001c482 0x0041c482 4   6            utf8    YY]Ë blocks=Basic Latin,Latin-1 Supplement
1072 0x0001c498 0x0041c498 4   6            utf8    YY]Ë blocks=Basic Latin,Latin-1 Supplement
1073 0x0001c4ae 0x0041c4ae 4   6            utf8    YY]Ë blocks=Basic Latin,Latin-1 Supplement
1074 0x0001c4c1 0x0041c4c1 4   6            utf8    YY]Ë blocks=Basic Latin,Latin-1 Supplement
